_seed1_s4-12-1_a4-2
2021-10-05_17-09-13	0	to save:  19, pool size = 100, survivor count = 20, games per cycle = 20, mutation rate = 0.5, mutation degree = 0.25
2021-10-05_17-27-03	48	duration:19.924475	[15,15,14,13,13,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10]
2021-10-05_17-27-23	49	duration:20.541619	[14,14,13,13,13,13,12,12,12,11,11,11,11,11,10,10,10,10,10,10]
2021-10-05_17-27-42	50	duration:18.863402	[15,14,13,12,12,12,11,11,11,10,10,10,10,10,10,10,10,9,9,9]
2021-10-05_17-28-02	51	duration:20.000873	[15,14,14,13,13,13,13,13,13,12,12,12,12,12,12,11,11,10,10,10]
2021-10-05_17-28-22	52	duration:19.171473	[15,14,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,10,10,10]
2021-10-05_17-28-40	53	duration:18.766436	[16,14,14,13,13,12,12,12,11,11,11,11,11,11,11,10,10,10,10,9]
2021-10-05_17-28-59	54	duration:18.971933	[16,14,14,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11]
2021-10-05_17-29-22	55	duration:22.471597	[15,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,10]
2021-10-05_17-29-42	56	duration:20.673386	[13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11]
2021-10-05_17-30-03	57	duration:20.267257	[15,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10]
2021-10-05_17-30-25	58	duration:21.906613	[16,14,14,14,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,10]
2021-10-05_17-30-48	59	duration:23.049405	[16,14,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11]
2021-10-05_17-31-10	60	duration:22.20283	[14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11]
2021-10-05_17-31-31	61	duration:21.476561	[14,14,13,13,13,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10]
2021-10-05_17-31-53	62	duration:21.452295	[16,15,14,14,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11]
2021-10-05_17-32-15	63	duration:22.176045	[16,15,15,15,14,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11]
2021-10-05_17-32-41	64	duration:25.699599	[13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11]
2021-10-05_17-33-06	65	duration:25.497251	[16,15,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11]
2021-10-05_17-33-28	66	duration:22.12964	[15,14,14,14,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10]
2021-10-05_17-33-53	67	duration:24.409836	[16,15,14,14,14,14,14,13,13,13,13,12,12,12,12,12,11,11,11,11]
2021-10-05_17-34-16	68	duration:23.384927	[15,15,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11]
2021-10-05_17-34-43	69	duration:27.146836	[16,16,15,15,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12]
2021-10-05_17-35-06	70	duration:22.604045	[16,16,15,15,14,13,13,13,13,13,13,12,12,12,12,12,11,11,11,11]
2021-10-05_17-35-28	71	duration:22.594343	[17,15,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12]
2021-10-05_17-35-53	72	duration:24.819385	[16,15,15,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12]
2021-10-05_17-36-17	73	duration:23.600942	[17,16,15,15,14,14,14,13,13,13,13,13,12,12,12,12,11,11,11,11]
2021-10-05_17-36-41	74	duration:24.114972	[15,15,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11]
2021-10-05_17-37-04	75	duration:23.238047	[16,16,15,15,15,15,15,15,14,14,14,13,13,13,13,13,12,12,12,12]
2021-10-05_17-37-29	76	duration:24.617374	[18,18,16,15,15,15,14,14,14,14,14,14,14,14,14,13,13,12,12,12]
2021-10-05_17-37-54	77	duration:25.069594	[14,14,14,14,14,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12]
2021-10-05_17-38-16	78	duration:22.622836	[14,14,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11]
2021-10-05_17-38-43	79	duration:26.722346	[18,16,16,15,15,14,14,14,14,14,14,13,13,13,12,12,12,12,12,12]
2021-10-05_17-39-09	80	duration:25.762467	[17,16,16,15,14,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12]
2021-10-05_17-39-36	81	duration:26.967879	[16,15,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11]
2021-10-05_17-40-03	82	duration:27.429441	[16,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12]
2021-10-05_17-40-29	83	duration:25.531036	[16,15,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12]
2021-10-05_17-40-54	84	duration:24.666705	[15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12]
2021-10-05_17-41-18	85	duration:24.148073	[15,15,15,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12]
2021-10-05_17-41-43	86	duration:25.345479	[17,16,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,12,12,12]
2021-10-05_17-42-10	87	duration:27.355348	[16,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12]
2021-10-05_17-42-36	88	duration:25.692598	[17,17,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12]
2021-10-05_17-43-02	89	duration:26.29084	[17,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12]
2021-10-05_17-43-27	90	duration:24.878941	[18,15,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12]
2021-10-05_17-43-53	91	duration:25.832434	[17,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12]
2021-10-05_17-44-19	92	duration:26.349876	[17,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,12]
2021-10-05_17-44-45	93	duration:25.617852	[16,16,15,15,14,14,14,14,14,13,13,13,12,12,12,12,12,12,12,12]
2021-10-05_17-45-13	94	duration:28.410556	[15,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12]
2021-10-05_17-45-40	95	duration:26.787803	[17,16,16,15,15,15,15,15,15,15,14,14,14,13,13,13,13,13,12,12]
2021-10-05_17-46-06	96	duration:26.126435	[17,16,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_17-46-32	97	duration:25.719744	[16,16,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13]
2021-10-05_17-46-59	98	duration:27.199742	[16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13]
2021-10-05_17-47-26	99	duration:26.869042	[17,17,17,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12]
2021-10-05_17-47-52	100	duration:26.230791	[16,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12]
2021-10-05_17-48-19	101	duration:26.80942	[16,16,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_17-48-47	102	duration:27.549421	[16,15,15,15,15,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12]
2021-10-05_17-49-13	103	duration:25.997066	[16,15,15,15,15,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12]
2021-10-05_17-49-40	104	duration:26.767371	[16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13]
2021-10-05_17-50-08	105	duration:28.308236	[18,16,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12]
2021-10-05_17-50-35	106	duration:27.373992	[16,16,16,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_17-51-01	107	duration:25.362978	[17,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13]
